"","x"
"1",1
"2",10
"3",100
"4",1000
"5",1001
"6",10010
"7",10013
"8",10015
"9",10016
"10",10020
"11",10021
"12",10022
"13",10023
"14",10026
"15",10028
"16",1003
"17",10030
"18",10032
"19",10039
"20",1004
"21",10045
"22",10051
"23",1006
"24",10063
"25",10064
"26",10065
"27",10066
"28",10067
"29",1007
"30",10071
"31",10072
"32",10073
"33",10074
"34",10075
"35",10076
"36",10077
"37",10078
"38",10079
"39",1008
"40",10080
"41",10081
"42",10082
"43",10083
"44",10084
"45",10085
"46",10086
"47",10087
"48",10088
"49",10089
"50",10090
"51",10091
"52",10092
"53",10093
"54",10094
"55",10095
"56",10096
"57",10097
"58",10098
"59",10099
"60",101
"61",1010
"62",10100
"63",10101
"64",10102
"65",1011
"66",1012
"67",10129
"68",1013
"69",10131
"70",1014
"71",1015
"72",1016
"73",10168
"74",10175
"75",10178
"76",1018
"77",10190
"78",10191
"79",10192
"80",10193
"81",10194
"82",10195
"83",10196
"84",10197
"85",10198
"86",10199
"87",102
"88",1020
"89",10200
"90",10201
"91",10202
"92",10203
"93",10204
"94",10205
"95",10206
"96",10207
"97",10208
"98",10209
"99",10210
"100",10211
"101",10212
"102",10213
"103",10214
"104",10215
"105",10216
"106",10217
"107",10218
"108",10219
"109",1022
"110",10220
"111",10221
"112",10222
"113",10223
"114",10224
"115",10225
"116",10226
"117",10227
"118",10228
"119",10229
"120",1023
"121",10230
"122",10231
"123",10232
"124",10233
"125",10234
"126",10235
"127",10236
"128",10237
"129",10238
"130",10239
"131",1024
"132",10240
"133",10241
"134",10242
"135",10243
"136",10244
"137",10245
"138",10246
"139",10247
"140",10248
"141",10249
"142",1025
"143",10250
"144",10251
"145",10252
"146",10253
"147",10254
"148",10255
"149",10256
"150",10257
"151",10258
"152",10259
"153",1026
"154",10260
"155",10261
"156",10262
"157",10263
"158",10264
"159",10265
"160",10266
"161",10267
"162",10268
"163",10269
"164",1027
"165",10270
"166",10271
"167",10272
"168",10273
"169",10274
"170",10275
"171",10276
"172",10277
"173",10278
"174",10279
"175",1028
"176",10280
"177",10281
"178",10282
"179",10283
"180",10284
"181",10285
"182",10286
"183",10288
"184",10289
"185",10290
"186",10292
"187",10293
"188",10294
"189",10295
"190",10296
"191",10297
"192",10298
"193",10299
"194",103
"195",1030
"196",10300
"197",10301
"198",10302
"199",10303
"200",10304
"201",10305
"202",10306
"203",10307
"204",10308
"205",10309
"206",10310
"207",10311
"208",10312
"209",10313
"210",10314
"211",10315
"212",10316
"213",10317
"214",10318
"215",10319
"216",10320
"217",10321
"218",10322
"219",10323
"220",10324
"221",10325
"222",10326
"223",10327
"224",10328
"225",10329
"226",1033
"227",10330
"228",10331
"229",10332
"230",10333
"231",10334
"232",10335
"233",10336
"234",10337
"235",10338
"236",10339
"237",10340
"238",10341
"239",10342
"240",10343
"241",10344
"242",10345
"243",10346
"244",10347
"245",10348
"246",10349
"247",10350
"248",10351
"249",10352
"250",10353
"251",10354
"252",10355
"253",10356
"254",10357
"255",10358
"256",10359
"257",1036
"258",10360
"259",10361
"260",10362
"261",10363
"262",10364
"263",10365
"264",10366
"265",10367
"266",10368
"267",10369
"268",10370
"269",10371
"270",10372
"271",10373
"272",10374
"273",10375
"274",10376
"275",10377
"276",10378
"277",10379
"278",1038
"279",10380
"280",10381
"281",10382
"282",10383
"283",10384
"284",10385
"285",10386
"286",10387
"287",10388
"288",10389
"289",10390
"290",10392
"291",10393
"292",10395
"293",10396
"294",10397
"295",10398
"296",10399
"297",104
"298",1040
"299",10400
"300",10401
"301",10402
"302",10403
"303",10404
"304",10405
"305",10406
"306",10407
"307",10408
"308",10409
"309",1041
"310",10410
"311",10411
"312",10412
"313",10413
"314",10414
"315",10415
"316",10416
"317",10417
"318",10418
"319",10419
"320",1042
"321",10420
"322",10421
"323",10422
"324",10423
"325",10424
"326",10425
"327",10426
"328",10427
"329",10428
"330",10429
"331",10430
"332",10431
"333",10432
"334",10433
"335",10434
"336",10435
"337",10436
"338",10437
"339",10438
"340",1044
"341",10440
"342",10441
"343",10442
"344",10443
"345",10444
"346",10445
"347",10446
"348",10447
"349",10448
"350",10449
"351",1045
