"","x"
"1",1002
"2",1005
"3",1009
"4",1017
"5",1019
"6",1021
"7",1029
"8",1031
"9",1032
"10",1034
"11",1035
"12",1037
"13",1039
"14",10391
"15",10394
"16",1043
"17",10439
"18",10455
"19",1046
"20",10532
"21",1057
"22",10582
"23",10583
"24",106
"25",1061
"26",1062
"27",1064
"28",1065
"29",1066
"30",1069
"31",107
"32",1071
"33",1073
"34",10796
"35",10892
"36",10924
"37",10929
"38",10930
"39",10963
"40",10983
"41",11141
"42",11166
"43",11181
"44",11189
"45",11266
"46",115
"47",116
"48",1168
"49",11882
"50",12025
"51",1207
"52",1209
"53",1212
"54",1213
"55",1214
"56",1216
"57",1221
"58",1225
"59",1231
"60",12322
"61",12326
"62",1250
"63",1251
"64",1252
"65",1255
"66",12647
"67",1277
"68",1278
"69",1292
"70",1293
"71",1306
"72",1329
"73",13479
"74",13513
"75",13514
"76",13515
"77",13516
"78",13517
"79",13518
"80",13519
"81",1352
"82",13520
"83",13521
"84",13522
"85",13523
"86",13524
"87",13525
"88",13526
"89",13527
"90",13528
"91",13529
"92",13530
"93",13531
"94",13532
"95",13533
"96",13534
"97",13535
"98",13536
"99",13537
"100",13538
"101",13539
"102",13540
"103",13541
"104",13542
"105",13543
"106",13544
"107",13545
"108",13546
"109",13547
"110",13548
"111",13549
"112",13550
"113",13551
"114",13552
"115",13553
"116",13554
"117",13555
"118",13556
"119",13557
"120",13558
"121",13559
"122",13560
"123",13561
"124",13562
"125",13563
"126",13564
"127",13565
"128",13566
"129",13567
"130",13568
"131",13569
"132",13570
"133",13571
"134",13572
"135",13573
"136",13574
"137",13575
"138",13576
"139",13577
"140",13578
"141",13579
"142",13580
"143",13581
"144",13582
"145",13583
"146",13584
"147",13585
"148",13586
"149",13587
"150",13588
"151",13589
"152",13590
"153",13591
"154",13592
"155",13593
"156",13594
"157",13595
"158",13596
"159",13597
"160",13598
"161",13599
"162",13600
"163",13601
"164",13602
"165",13603
"166",13604
"167",13605
"168",13606
"169",13607
"170",13608
"171",13609
"172",13610
"173",13611
"174",13612
"175",13613
"176",13614
"177",13615
"178",13616
"179",13617
"180",13618
"181",13619
"182",13620
"183",13621
"184",13622
"185",13623
"186",13624
"187",13625
"188",13626
"189",13627
"190",13628
"191",13629
"192",13630
"193",13631
"194",13632
"195",13633
"196",13634
"197",13635
"198",13636
"199",13637
"200",13638
"201",13639
"202",13640
"203",13641
"204",13642
"205",13643
"206",13644
"207",13645
"208",13646
"209",13647
"210",13648
"211",13649
"212",13650
"213",13651
"214",13652
"215",13653
"216",13654
"217",13655
"218",13656
"219",13657
"220",13658
"221",13659
"222",13660
"223",13661
"224",13662
"225",13663
"226",13664
"227",13665
"228",13666
"229",13667
"230",14545
"231",14546
"232",14547
"233",14548
"234",14550
"235",14551
"236",14552
"237",14560
"238",14562
"239",14566
"240",14574
"241",14594
"242",14599
"243",14609
"244",14611
"245",14613
"246",14617
"247",14619
"248",14632
"249",14635
"250",14657
"251",14658
"252",14661
"253",14663
"254",14673
"255",14675
"256",14678
"257",14682
"258",14685
"259",14691
"260",14700
"261",14703
"262",14704
"263",14709
"264",14714
"265",14716
"266",14723
"267",14734
"268",14740
"269",14744
"270",14751
"271",14753
"272",14754
"273",14758
"274",14766
"275",14769
"276",1477
"277",14775
"278",14778
"279",14783
"280",14790
"281",14792
"282",14796
"283",14799
"284",14801
"285",14808
"286",14819
"287",14820
"288",14825
"289",151
"290",15286
"291",1540
"292",1582
"293",1586
"294",1597
"295",161
"296",1614
"297",162
"298",1640
"299",1662
"300",1665
"301",1675
"302",1686
"303",1717
"304",1756
"305",1767
"306",1774
"307",1776
"308",18056
"309",18181
"310",18221
"311",18223
